Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_038418.1,Cyclovirus SL-108277,RefSeq,GCF_002820225.1,"Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Cyclovirus manitan,1710,complete,Sri Lanka,,Homo sapiens,cerebrospinal fluid,2009
NC_038426.1,Hepacivirus platyrrhini,RefSeq,GCF_002820785.1,"Simons,J.N., Pilot-Matias,T.J., Leary,T.P., Dawson,G.J., Desai,S.M., Schlauder,G.G., Muerhoff,A.S., Erker,J.C., Buijk,S.L., Chalmers,M.L., van Sant,C.L., Mushahwar,I.K.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Hepacivirus platyrrhini,9143,complete,,,Homo sapiens,"blood, liver, abdominal cavity",1994
NC_038436.1,Human hepegivirus,RefSeq,GCF_002821385.1,"Kapoor,A., Kumar,A., Simmonds,P., Bhuva,N., Singh Chauhan,L., Lee,B., Sall,A.A., Jin,Z., Morse,S.S., Shaz,B., Burbelo,P.D., Lipkin,W.I.","National Center for Biotechnology Information, NIH",USA,2018-08-24,AK-790,Pegivirus columbiaense,9538,complete,USA,,Homo sapiens,,2015
NC_038496.1,Gemycircularvirus C1c,RefSeq,GCF_002826005.1,"Uch,R., Fournier,P.E., Robert,C., Blanc-Tailleur,C., Galicher,V., Barre,R., Jordier,F., de Micco,P., Raoult,D., Biagini,P.","National Center for Biotechnology Information, NIH",USA,2018-08-24,GemyC1c,Gemykibivirus humas3,2109,complete,France,,Homo sapiens,blood,2014
NC_038497.1,Human gemycircularvirus GeTz1,RefSeq,GCF_002826025.1,"Zhou,C., Zhang,S., Gong,Q., Hao,A.","National Center for Biotechnology Information, NIH",USA,2018-08-24,GeTz1,Gemykibivirus humas4,2202,complete,China,,Homo sapiens,cerebrospinal fluid,2013
NC_038522.1,Human papillomavirus type 161,RefSeq,GCF_002826985.1,"Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.","National Center for Biotechnology Information, NIH",USA,2018-08-24,KC1,Gammapapillomavirus 19,7238,complete,China,,Homo sapiens,,2008-11-03
NC_038523.1,Human papillomavirus 172,RefSeq,GCF_002827005.1,"Martin,E., Dang,J., Bzhalava,D., Stern,J., Edelstein,Z.R., Koutsky,L.A., Kiviat,N.B., Feng,Q.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Gammapapillomavirus 22,7203,complete,USA,,Homo sapiens,oronasopharynx,2009
NC_038524.1,Human papillomavirus 175,RefSeq,GCF_002827025.1,"Johansson,H., Bzhalava,D., Ekstrom,J., Hultin,E., Dillner,J., Forslund,O.","National Center for Biotechnology Information, NIH",USA,2018-08-24,SE87,Gammapapillomavirus 23,7226,complete,Sweden,,Homo sapiens,lesion,2009
NC_038525.1,Human papillomavirus 204,RefSeq,GCF_002827045.1,"Hosnjak,L., Kocjan,B.J., Poljak,M.","National Center for Biotechnology Information, NIH",USA,2018-08-24,A342,Mupapillomavirus 3,7227,complete,Slovenia,,Homo sapiens,,2009
NC_038594.1,Lebombo virus,RefSeq,GCF_002829425.1,,"National Center for Biotechnology Information, NIH",USA,2018-08-24,SAAR 3896,Lebombo virus,3936,complete,South Africa,,Homo sapiens,,1956-01
NC_038604.1,Orungo virus,RefSeq,GCF_002829445.1,,"National Center for Biotechnology Information, NIH",USA,2018-08-24,UGMP 359,Orungo virus,3942,complete,Uganda,,Homo sapiens,,1959-09
NC_038726.1,Catu virus,RefSeq,GCF_002831305.1,"Shchetinin,A.M., Lvov,D.K., Deriabin,P.G., Botikov,A.G., Gitelman,A.K., Kuhn,J.H., Alkhovsky,S.V.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Orthobunyavirus catuense,807,complete,Brazil,,Homo sapiens,,1955-02-07
NC_038914.1,Human papillomavirus 184,RefSeq,GCF_002987365.1,"Kocjan,B.J., Hozjak,L., Poljak,M.","National Center for Biotechnology Information, NIH",USA,2018-08-24,SIBX17,Gammapapillomavirus 25,7324,complete,Slovenia,,Homo sapiens,lesion_tumor,
NC_039024.1,Central cimpanzee simian foamy virus,RefSeq,GCF_003032755.1,"Rua,R., Betsem,E., Calattini,S., Saib,A., Gessain,A.","National Center for Biotechnology Information, NIH",USA,2018-08-24,BAD327,Central cimpanzee simian foamy virus,13220,complete,Cameroon,,Homo sapiens,,
NC_039025.1,Eastern chimpanzee simian foamy virus,RefSeq,GCF_003032765.1,"Wagner,T.C., Bodem,J., Hofmann,D.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Eastern chimpanzee simian foamy virus,11954,complete,,,Homo sapiens,,1977
NC_039050.1,Cutavirus,RefSeq,GCF_003033315.1,"Phan,T.G., Dreno,B., da Costa,A.C., Li,L., Orlandi,P., Deng,X., Kapusinszky,B., Siqueira,J., Knol,A.C., Halary,F., Dantal,J., Alexander,K.A., Pesavento,P.A., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Protoparvovirus primate3,4456,complete,Brazil,,Homo sapiens,feces,
NC_039061.1,Human associated huchismacovirus 1,RefSeq,GCF_003033475.1,"Ng,T.F.F., Sachsenroeder,J., Vega,E., Kondov,N.O., Jang,C., Deng,X., Gregoricus,N., Vinje,J., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,Oregon/6/2011/GottageGrove/5A1,Human associated huchismacovirus 1,2460,complete,USA,,Homo sapiens,feces,2011-06-06
NC_039062.1,Human associated huchismacovirus 2,RefSeq,GCF_003033485.1,"Ng,T.F.F., Sachsenroeder,J., Vega,E., Kondov,N.O., Jang,C., Deng,X., Gregoricus,N., Vinje,J., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,France/8/2008/2444,Human associated huchismacovirus 2,2471,complete,France,,Homo sapiens,feces,2008
NC_039063.1,Human associated huchismacovirus 3,RefSeq,GCF_003033495.1,"Ng,T.F.F., Sachsenroeder,J., Vega,E., Kondov,N.O., Jang,C., Deng,X., Gregoricus,N., Vinje,J., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-08-24,France/1/2009/3664,Human associated huchismacovirus 3,2459,complete,France,,Homo sapiens,feces,2009
NC_039070.1,Human feces smacovirus 2,RefSeq,GCF_003033575.1,"Phan,T.G., da Costa,A.C., Del Valle Mendoza,J., Bucardo-Rivera,F., Nordgren,J., O'Ryan,M., Deng,X., Delwart,E., Phan,T.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Porprismacovirus humas1,2601,complete,Peru,,Homo sapiens,feces,2013
NC_039086.1,Human papillomavirus 187,RefSeq,GCF_003055605.1,"Chen,Z., Burk,R.","National Center for Biotechnology Information, NIH",USA,2018-08-24,ACS447,Gammapapillomavirus 26,7268,complete,,,Homo sapiens,,
NC_039191.1,Punta Toro virus,RefSeq,GCF_002815115.1,"Palacios,G., Wiley,M.R., Travassos da Rosa,A.P., Guzman,H., Quiroz,E., Savji,N., Carrera,J.P., Bussetti,A.V., Ladner,J.T., Lipkin,W.I., Tesh,R.B., Wiley,M., Travassos da Rosa,A.P.A., Carrera,J.-P., Ladner,J., Test,R.B.","National Center for Biotechnology Information, NIH",USA,2018-08-24,,Phlebovirus toroense,4348,complete,Panama,,Homo sapiens,,1972
NC_039215.1,Cyclovirus VN,RefSeq,GCF_002820205.1,"Tan Le,V., van Doorn,H.R., Nghia,H.D., Chau,T.T., Tu Le,T.P., de Vries,M., Canuti,M., Deijs,M., Jebbink,M.F., Baker,S., Bryant,J.E., Tham,N.T., Bkrong,N.T., Boni,M.F., Loi,T.Q., Phuong Le,T., Verhoeven,J.T., Crusat,M., Jeeninga,R.E., Schultsz,C., Chau,N.V., Hien,T.T., van der Hoek,L., Farrar,J., de Jong,M.D., Tan,L.V., Nghia,H.D.T., Chau,T.T.H., Tu,L.T.P., Chinh BKrong,N.T.T., Phuong,L.T., Verhoeven,J.T.P., Chau,N.V.V.","National Center for Biotechnology Information, NIH",USA,2018-08-24,hcf2,Cyclovirus nhanloai,1856,complete,Viet Nam,,Homo sapiens,cerebrospinal fluid,2009
NC_036877.1,Cyclovirus PK5006,RefSeq,GCF_002820085.1,"Li,L., Kapoor,A., Slikas,B., Bamidele,O.S., Wang,C., Shaukat,S., Masroor,M.A., Wilson,M.L., Ndjango,J.B., Peeters,M., Gross-Camp,N.D., Muller,M.N., Hahn,B.H., Wolfe,N.D., Triki,H., Bartkus,J., Zaidi,S.Z., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2018-02-16,PK5006,Cyclovirus insaan,1723,complete,Pakistan,,Homo sapiens,feces,2007
NC_035889.1,Zika virus,RefSeq,GCF_002366285.1,"Mlakar,J., Korva,M., Tul,N., Popovic,M., Poljsak-Prijatelj,M., Mraz,J., Kolenc,M., Resman Rus,K., Vesnaver Vipotnik,T., Fabjan Vodusek,V., Vizjak,A., Pizem,J., Petrovec,M., Avsic Zupanc,T.","National Center for Biotechnology Information, NIH",USA,2017-09-22,,Orthoflavivirus zikaense,10808,complete,"Brazil: Rio Grande do Norte, Natal",,Homo sapiens,brain,2015
NC_035758.1,Bastrovirus 7,RefSeq,GCF_002285025.1,"Oude Munnink,B.B., Cotten,M., Canuti,M., Deijs,M., Jebbink,M.F., van Hemert,F.J., Phan,M.V.T., Bakker,M., Jazaeri Farsani,S.M., Kellam,P., van der Hoek,L.","National Center for Biotechnology Information, NIH",USA,2017-08-31,,Bastrovirus BAS-1,6339,complete,Netherlands,,Homo sapiens,feces,
NC_035475.1,Hudisavirus sp.,RefSeq,GCF_002375055.1,"Altan,E., Del Valle Mendoza,J., Deng,X., Phan,T.G., Sadeghi,M., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2017-08-24,P22,Hudisavirus sp.,2585,complete,Peru,,Homo sapiens,feces,
NC_035211.1,Human fecal virus Jorvi4,RefSeq,GCF_002219705.1,"Zhao,G., Vatanen,T., Droit,L., Park,A., Kostic,A.D., Poon,T.W., Vlamakis,H., Siljander,H., Harkonen,T., Hamalainen,A.M., Peet,A., Tillmann,V., Ilonen,J., Wang,D., Knip,M., Xavier,R.J., Virgin,H.W., Hamalainen,A.-M., Xavier,R.","National Center for Biotechnology Information, NIH",USA,2017-07-14,Jorvi4,Human fecal virus Jorvi4,2343,complete,Finland,,Homo sapiens,feces,
NC_035212.1,Human fecal virus Jorvi2,RefSeq,GCF_002219885.1,"Zhao,G., Vatanen,T., Droit,L., Park,A., Kostic,A.D., Poon,T.W., Vlamakis,H., Siljander,H., Harkonen,T., Hamalainen,A.M., Peet,A., Tillmann,V., Ilonen,J., Wang,D., Knip,M., Xavier,R.J., Virgin,H.W., Hamalainen,A.-M., Xavier,R.","National Center for Biotechnology Information, NIH",USA,2017-07-14,Jorvi2,Human fecal virus Jorvi2,3925,complete,Finland,,Homo sapiens,feces,
NC_035213.1,Human fecal virus Jorvi3,RefSeq,GCF_002219525.1,"Zhao,G., Vatanen,T., Droit,L., Park,A., Kostic,A.D., Poon,T.W., Vlamakis,H., Siljander,H., Harkonen,T., Hamalainen,A.M., Peet,A., Tillmann,V., Ilonen,J., Wang,D., Knip,M., Xavier,R.J., Virgin,H.W., Hamalainen,A.-M., Xavier,R.","National Center for Biotechnology Information, NIH",USA,2017-07-14,Jorvi3,Human fecal virus Jorvi3,1942,complete,Finland,,Homo sapiens,feces,
NC_034616.1,Human papillomavirus type 85,RefSeq,GCF_002153865.1,"de Oliveira,G.R., Siqueira,J.D., Finger-Jardim,F., Vieira,V.C., Silva,R.L., Goncalves,C.V., Soares,E., de Martinez,A.M.B., Soares,M.A.","National Center for Biotechnology Information, NIH",USA,2017-05-19,114B,Human papillomavirus type 85,7812,complete,Brazil,,Homo sapiens,,
NC_034443.1,Le Dantec virus,RefSeq,GCF_002118505.1,"Walker,P.J., Firth,C., Widen,S.G., Blasdell,K.R., Guzman,H., Wood,T.G., Paradkar,P.N., Holmes,E.C., Tesh,R.B., Vasilakis,N., Walker,P., Widen,S., Blasdell,K., Wood,T., Paradkar,P., Holmes,E., Tesh,R.","National Center for Biotechnology Information, NIH",USA,2017-05-05,,Ledantevirus ledantec,11450,complete,Senegal,,Homo sapiens,,1965
NC_034479.1,Orthobunyavirus bwambaense,RefSeq,GCF_002118905.1,"Groseth,A., Mampilli,V., Weisend,C., Dahlstrom,E., Porcella,S.F., Russell,B.J., Tesh,R.B., Ebihara,H.","National Center for Biotechnology Information, NIH",USA,2017-05-05,,Orthobunyavirus bwambaense,6934,complete,Uganda,,Homo sapiens,,1937
NC_034486.1,Guaroa virus,RefSeq,GCF_002118805.1,"Groseth,A., Wollenberg,K.R., Mampilli,V., Shupert,T., Weisend,C., Guevara,C., Kochel,T.J., Tesh,R.B., Ebihara,H., Wollenberg,K.K.","National Center for Biotechnology Information, NIH",USA,2017-05-05,,Orthobunyavirus guaroaense,955,complete,Brazil,,Homo sapiens,,1960
NC_034497.1,Madrid virus,RefSeq,GCF_002118405.1,"Forshey,B.M., Castillo,R.M., Hang,J., Yang,Y., Solorzano,V.F., Palacios,G., Kuschner,R.A., Halsey,E.S., Jarman,R.G., Kochel,T.J.","National Center for Biotechnology Information, NIH",USA,2017-05-05,,Orthobunyavirus madridense,6872,complete,Panama,,Homo sapiens,,1956
NC_034385.1,Cosavirus F,RefSeq,GCF_002117635.1,"Kapusinszky,B., Phan,T.G., Kapoor,A., Delwart,E., Delwart,E.L.","National Center for Biotechnology Information, NIH",USA,2017-05-01,,Cosavirus F,6656,complete,Pakistan,,Homo sapiens,,2007
NC_034253.1,LI polyomavirus,RefSeq,GCF_002080215.1,"Gheit,T., Dutta,S., Oliver,J., Robitaille,A., Hampras,S., Combes,J.D., McKay-Chopin,S., Le Calvez-Kelm,F., Fenske,N., Cherpelis,B., Giuliano,A.R., Franceschi,S., McKay,J., Rollison,D.E., Tommasino,M.","National Center for Biotechnology Information, NIH",USA,2017-04-05,LIPyV,Alphapolyomavirus quardecihominis,5269,complete,USA,,Homo sapiens,skin,2016-07-27
NC_033781.1,Human papillomavirus type 156,RefSeq,GCF_002006915.1,"Chouhy,D., Bolatti,E.M., Piccirilli,G., Sanchez,A., Fernandez Bussy,R., Giri,A.A.","National Center for Biotechnology Information, NIH",USA,2017-02-24,GC01,Gammapapillomavirus 18,7329,complete,Argentina,,Homo sapiens,skin,2008
NC_032682.2,Indian encephalitis associated cyclovirus,RefSeq,GCF_001939215.2,"Bouquet,J., Joshi,R., Chiu,C.Y.","National Center for Biotechnology Information, NIH",USA,2017-01-05,IECSF08,Cyclovirus manusyan,1723,complete,India,,Homo sapiens,cerebrospinal fluid,2007
NC_032480.1,Husavirus sp.,RefSeq,GCF_002374975.1,"Oude Munnink,B.B., Phan,M.V.T., Kellam,P., van der Hoek,L., Cotten,M.","National Center for Biotechnology Information, NIH",USA,2016-12-29,16370_59,Husavirus sp.,8856,complete,Viet Nam,,Homo sapiens,feces,2013-04-02
NC_030791.1,Hepatitis C virus genotype 7,RefSeq,GCF_001712785.1,"Murphy,D.G., Sablon,E., Chamberland,J., Fournier,E., Dandavino,R., Tremblay,C.L., Murphy,D.","National Center for Biotechnology Information, NIH",USA,2016-08-19,QC69,Hepacivirus hominis,9443,complete,Canada,,Homo sapiens,blood,
NC_030454.1,enterovirus A114,RefSeq,GCF_001684625.1,"Deshpande,J.M., Sharma,D.K., Saxena,V.K., Shetty,S.A., Qureshi,T.H., Nalavade,U.P.","National Center for Biotechnology Information, NIH",USA,2016-07-12,,Enterovirus A,7317,complete,India,,Homo sapiens,feces,2013-09-09
NC_030447.1,Gemycircularvirus HV-GcV1,RefSeq,GCF_001679855.1,"Halary,S., Duraisamy,R., Fancello,L., Monteil-Bouchard,S., Jardot,P., Biagini,P., Gouriet,F., Raoult,D., Desnues,C.","National Center for Biotechnology Information, NIH",USA,2016-07-04,HV-GcV1,Gemycircularvirus HV-GcV1,2264,complete,France,,Homo sapiens,heart,
NC_030448.1,Gemycircularvirus HV-GcV2,RefSeq,GCF_001679875.1,"Halary,S., Duraisamy,R., Fancello,L., Monteil-Bouchard,S., Jardot,P., Biagini,P., Gouriet,F., Raoult,D., Desnues,C.","National Center for Biotechnology Information, NIH",USA,2016-07-04,HV-GcV2,Gemykibivirus humas5,2262,complete,France,,Homo sapiens,heart,
NC_030297.1,Torque teno mini virus 18,RefSeq,GCF_001661815.1,"Zhang,Y., Li,F., Shan,T.L., Deng,X., Delwart,E., Feng,X.P.","National Center for Biotechnology Information, NIH",USA,2016-06-10,222,Betatorquevirus homini18,2803,complete,China,,Homo sapiens,oronasopharynx,2014
NC_028459.1,Human associated gemyvongvirus 1,RefSeq,GCF_001448435.1,"Zhang,W., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2015-11-24,DB1,Gemyvongvirus humas1,2272,complete,Germany,,Homo sapiens,blood,2000
NC_028125.1,human papillomavirus 163,RefSeq,GCF_001430115.1,"Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y., Li,J.J.","National Center for Biotechnology Information, NIH",USA,2015-10-30,KC3,Gammapapillomavirus 20,7233,complete,China,,Homo sapiens,,2008-10-26
NC_027998.2,Human pegivirus 2,RefSeq,GCF_001310135.2,"Berg,M.G., Lee,D., Coller,K., Frankel,M., Aronsohn,A., Cheng,K., Forberg,K., Marcinkus,M., Naccache,S.N., Dawson,G., Brennan,C., Jensen,D.M., Hackett,J. Jr., Chiu,C.Y.","National Center for Biotechnology Information, NIH",USA,2015-10-08,UC0125.US,Pegivirus columbiaense,9867,complete,USA,,Homo sapiens,,2008-08-28
NC_027779.1,Human papillomavirus,RefSeq,GCF_001274345.1,"Arroyo Muhr,L.S., Bzhalava,D., Lagheden,C., Eklund,C., Johansson,H., Forslund,O., Dillner,J., Hultin,E.","National Center for Biotechnology Information, NIH",USA,2015-08-24,SE379,Human papillomavirus,7320,complete,Sweden,,Homo sapiens,,2014
NC_027528.1,Human papillomavirus 201,RefSeq,GCF_001184845.1,"Arroyo Muhr,S., Bzhalava,D., Lagheden,C., Eklund,C., Johansson,H., Forslund,O., Dillner,J., Hultin,E., Arroyo Muhr,L.S.","National Center for Biotechnology Information, NIH",USA,2015-07-20,HPV201,Gammapapillomavirus 27,7291,complete,Sweden,,Homo sapiens,,2014
NC_026946.1,Human papillomavirus KC5,RefSeq,GCF_000989155.1,"Li,J., Cai,H., Xu,Z., Wang,Q., Hang,D., Shen,N., Liu,M., Zhang,C., Abliz,A., Ke,Y.","National Center for Biotechnology Information, NIH",USA,2015-05-05,KC5,Human papillomavirus KC5,7143,complete,China,,Homo sapiens,,2008-11-01
NC_026817.1,Human genital-associated circular DNA virus-1,RefSeq,GCF_000973295.1,"Meiring,T.L., Hu,N.-C., Rybicki,E.P., Williamson,A.-L.","University of Cape Town, Clinical Laboratory Sciences",South Africa,2015-04-16,349,Gemygorvirus sewopo1,2235,complete,South Africa,,Homo sapiens,cervix,2006
NC_026431.1,Influenza A virus (A/California/07/2009(H1N1)),RefSeq,GCF_001343785.1,"Garten,R.J., Davis,C.T., Russell,C.A., Shu,B., Lindstrom,S., Balish,A., Sessions,W.M., Xu,X., Skepner,E., Deyde,V., Okomo-Adhiambo,M., Gubareva,L., Barnes,J., Smith,C.B., Emery,S.L., Hillman,M.J., Rivailler,P., Smagala,J., de Graaf,M., Burke,D.F., Fouchier,R.A., Pappas,C., Alpuche-Aranda,C.M., Lopez-Gatell,H., Olivera,H., Lopez,I., Myers,C.A., Faix,D., Blair,P.J., Yu,C., Keene,K.M., Dotson,P.D. Jr., Boxrud,D., Sambol,A.R., Abid,S.H., St George,K., Bannerman,T., Moore,A.L., Stringer,D.J., Blevins,P., Demmler-Harrison,G.J., Ginsberg,M., Kriner,P., Waterman,S., Smole,S., Guevara,H.F., Belongia,E.A., Clark,P.A., Beatrice,S.T., Donis,R., Katz,J., Finelli,L., Bridges,C.B., Shaw,M., Jernigan,D.B., Uyeki,T.M., Smith,D.J., Klimov,A.I., Cox,N.J., Dawood,F.S., Jain,S., Shaw,M.W., Gubareva,L.V., Garten,R., Smith,C., Emery,S., Klimov,A., Cox,N.","National Center for Biotechnology Information, NIH",USA,2015-02-23,,Alphainfluenzavirus influenzae,982,complete,USA: California state,CA,Homo sapiens,,2009-04-09
NC_026422.1,Influenza A virus (A/Shanghai/02/2013(H7N9)),RefSeq,GCF_000928555.1,"Zhu,H., Wang,D., Kelvin,D.J., Li,L., Zheng,Z., Yoon,S.W., Wong,S.S., Farooqui,A., Wang,J., Banner,D., Chen,R., Zheng,R., Zhou,J., Zhang,Y., Hong,W., Dong,W., Cai,Q., Roehrl,M.H., Huang,S.S., Kelvin,A.A., Yao,T., Zhou,B., Chen,X., Leung,G.M., Poon,L.L., Webster,R.G., Webby,R.J., Peiris,J.S., Guan,Y., Shu,Y., Roehrl,M.A., Huang,S.H., Calvin,A.A.","National Center for Biotechnology Information, NIH",USA,2015-02-04,,Alphainfluenzavirus influenzae,2280,complete,China,,Homo sapiens,,2013-03-05
NC_026252.1,Human smacovirus 1,RefSeq,GCF_000929235.1,"Ng,T.F.F., Sachsenroeder,J., Vega,E., Kondov,N.O., Jang,C., Deng,X., Gregoricus,N., Vinje,J., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2015-01-26,France/12/2008/3454,Human smacovirus 1,2460,complete,France,,Homo sapiens,feces,2008
NC_025961.1,Cosavirus JMY-2014,RefSeq,GCF_000930055.1,"Yu,J.-M., Duan,Z.-J.","National Center for Biotechnology Information, NIH",USA,2014-12-24,Cosa-CHN,Cosavirus JMY-2014,7213,complete,China,,Homo sapiens,feces,2012-08-11
NC_025726.1,Torque teno mini virus ALA22,RefSeq,GCF_000930495.1,"Parras-Molto,M., Suarez-Rodriguez,P., Eguia,A., Aguirre-Urizar,J.M., Lopez-Bueno,A.","National Center for Biotechnology Information, NIH",USA,2014-11-26,TTMV-ALA22,Betatorquevirus homini27,2914,complete,Spain,,Homo sapiens,oronasopharynx,2014-02-01
NC_025727.1,Torque teno mini virus ALH8,RefSeq,GCF_000929855.1,"Parras-Molto,M., Suarez-Rodriguez,P., Eguia,A., Aguirre-Urizar,J.M., Lopez-Bueno,A.","National Center for Biotechnology Information, NIH",USA,2014-11-26,TTMV-ALH8,Betatorquevirus homini16,2855,complete,Spain,,Homo sapiens,oronasopharynx,2013-09-26
NC_025343.1,Sosuga virus,RefSeq,GCF_000924495.1,"Albarino,C.G., Foltzer,M., Towner,J.S., Rowe,L.A., Campbell,S., Jaramillo,C.M., Bird,B.H., Reeder,D.M., Vodzak,M.E., Rota,P., Metcalfe,M.G., Spiropoulou,C.F., Knust,B., Vincent,J.P., Frace,M.A., Nichol,S.T., Rollin,P.E., Stroher,U., Spiropoulou,C.","National Center for Biotechnology Information, NIH",USA,2014-10-27,2012,Pararubulavirus sosugaense,15480,complete,Uganda: South Sudan,,Homo sapiens,blood,2012
NC_025114.1,Salivirus FHB,RefSeq,GCF_000926235.1,"Yu,J.M., Ao,Y.Y., Liu,N., Li,L.L., Duan,Z.J., Yu,J.-M., Duan,Z.-J.","National Center for Biotechnology Information, NIH",USA,2014-09-29,SaliV-FHB,Salivirus FHB,7998,complete,China,,Homo sapiens,,2011
NC_024888.1,Bufavirus-3,RefSeq,GCF_000924255.1,"Yahiro,T., Wangchuk,S., Tshering,K., Bandhari,P., Zangmo,S., Dorji,T., Matsumoto,T., Nishizono,A., Soderlund-Venermo,M., Ahmed,K.","National Center for Biotechnology Information, NIH",USA,2014-09-17,,Bufavirus-3,4733,complete,Bhutan,,Homo sapiens,feces,2010-04-26
NC_024781.1,Orthomarburgvirus marburgense,RefSeq,GCF_000943645.1,"Towner,J.S., Khristova,M.L., Sealy,T.K., Vincent,M.J., Erickson,B.R., Bawiec,D.A., Hartman,A.L., Comer,J.A., Zaki,S.R., Stroher,U., Gomes da Silva,F., del Castillo,F., Rollin,P.E., Ksiazek,T.G., Nichol,S.T., Rollin,P.","National Center for Biotechnology Information, NIH",USA,2014-09-05,Ravn virus/H.sapiens-tc/KEN/1987/Kitum Cave-810040,Orthomarburgvirus marburgense,19114,complete,Kenya,,Homo sapiens,blood,1987
NC_024694.1,Human circovirus VS6600022,RefSeq,GCF_000924015.1,"Smits,S.L., Schapendonk,C.M., van Beek,J., Vennema,H., Schurch,A.C., Schipper,D., Bodewes,R., Haagmans,B.L., Osterhaus,A.D., Koopmans,M.P., Schapendonk,C.M.E., Osterhaus,A.D.M.E., Koopmans,M.","National Center for Biotechnology Information, NIH",USA,2014-08-13,VS6600022,Amaruvirus aka,2836,complete,Netherlands,,Homo sapiens,feces,
NC_024472.1,Human astrovirus BF34,RefSeq,GCF_000923215.1,"Phan,T.G., Nordgren,J., Ouermi,D., Simpore,J., Nitiema,L.W., Deng,X., Delwart,E.","National Center for Biotechnology Information, NIH",USA,2014-07-14,,Burkina Faso astrovirus,6577,complete,Burkina Faso,,Homo sapiens,feces,2010
NC_024118.1,New Jersey polyomavirus-2013,RefSeq,GCF_000922675.1,"Mishra,N., Pereira,M., Rhodes,R.H., An,P., Pipas,J.M., Jain,K., Kapoor,A., Briese,T., Faust,P.L., Lipkin,W.I.","National Center for Biotechnology Information, NIH",USA,2014-05-19,NJ-PyV-2013,Alphapolyomavirus terdecihominis,5108,complete,USA,,Homo sapiens,muscle,2013-01-21
